table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 7. Resident Population Estimates for the 100 Largest U.S. Counties Based on July 1, 2009 Population Estimates: April 1, 2000 to July 1, 2009",,,,,,,,,,,,,
Rank,Geographic Area,Population Estimates,,,,,,,,,,"April 1, 2000",
,,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
1,"Los Angeles County, CA","9,848,011","9,779,254","9,734,701","9,760,598","9,803,912","9,808,494","9,777,324","9,717,871","9,634,764","9,542,578","9,519,331","9,519,338"
2,"Cook County, IL","5,287,037","5,256,705","5,235,762","5,236,986","5,268,513","5,302,421","5,330,484","5,355,574","5,376,559","5,376,861","5,376,837","5,376,741"
3,"Harris County, TX","4,070,989","3,980,602","3,909,239","3,855,798","3,732,321","3,670,543","3,615,199","3,557,879","3,483,124","3,413,678","3,400,590","3,400,578"
4,"Maricopa County, AZ","4,023,132","3,958,263","3,872,962","3,776,118","3,647,131","3,502,635","3,391,391","3,299,127","3,200,075","3,097,378","3,072,168","3,072,149"
5,"San Diego County, CA","3,053,793","3,019,274","2,975,656","2,947,222","2,941,770","2,935,672","2,926,814","2,901,235","2,867,094","2,824,987","2,813,834","2,813,833"
6,"Orange County, CA","3,026,786","2,989,141","2,957,902","2,953,062","2,957,263","2,956,096","2,940,109","2,917,106","2,890,972","2,856,372","2,846,297","2,846,289"
7,"Kings County, NY","2,567,098","2,549,941","2,539,206","2,523,047","2,511,408","2,497,859","2,483,164","2,477,380","2,471,596","2,465,812","2,465,531","2,465,326"
8,"Miami-Dade County, FL","2,500,625","2,478,745","2,453,567","2,438,702","2,413,583","2,381,215","2,352,658","2,328,122","2,294,643","2,258,765","2,253,786","2,253,362"
9,"Dallas County, TX","2,451,730","2,411,921","2,381,873","2,353,448","2,316,657","2,297,435","2,287,070","2,280,415","2,267,590","2,225,371","2,218,792","2,218,899"
10,"Queens County, NY","2,306,712","2,288,574","2,277,779","2,264,661","2,256,576","2,250,718","2,244,238","2,239,457","2,234,676","2,229,895","2,229,379","2,229,379"
11,"Riverside County, CA","2,125,440","2,087,917","2,055,924","1,994,840","1,917,401","1,845,631","1,763,765","1,682,749","1,614,698","1,559,109","1,545,374","1,545,387"
12,"San Bernardino County, CA","2,017,673","2,004,914","1,992,989","1,973,664","1,943,934","1,899,689","1,847,860","1,800,599","1,761,558","1,718,469","1,709,443","1,709,434"
13,"Wayne County, MI","1,925,848","1,949,024","1,981,238","2,008,730","2,025,145","2,037,048","2,046,478","2,054,221","2,059,824","2,058,758","2,061,161","2,061,162"
14,"King County, WA","1,916,441","1,884,242","1,857,506","1,832,059","1,803,691","1,782,942","1,769,753","1,763,669","1,756,988","1,739,277","1,737,047","1,737,034"
15,"Clark County, NV","1,902,834","1,879,093","1,838,635","1,778,129","1,708,846","1,646,875","1,572,924","1,515,571","1,456,549","1,393,370","1,375,738","1,375,765"
16,"Tarrant County, TX","1,789,900","1,749,974","1,709,745","1,662,902","1,612,195","1,580,347","1,552,186","1,523,284","1,488,516","1,454,402","1,446,230","1,446,219"
17,"Santa Clara County, CA","1,784,642","1,755,849","1,723,927","1,700,089","1,682,383","1,668,984","1,667,762","1,673,028","1,690,395","1,685,842","1,682,584","1,682,585"
18,"Broward County, FL","1,766,476","1,753,262","1,746,968","1,762,334","1,766,620","1,741,272","1,719,073","1,698,735","1,667,903","1,631,723","1,623,016","1,623,018"
19,"Bexar County, TX","1,651,448","1,621,304","1,588,905","1,550,921","1,511,506","1,487,463","1,462,052","1,439,835","1,414,511","1,397,813","1,392,935","1,392,931"
